,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
last_digit,0,1,2,3,4,5,6,7,8,9,total
model_name,,,,,,,,,,,
アイムジャグラーEX-TP,1.003,1.005,0.993,0.995,0.986,1.003,1.009,0.988,0.996,0.994,0.999
ウルトラミラクルジャグラー,0.995,1.008,0.985,0.995,0.985,1.004,1.01,1.006,0.988,0.978,0.997
ゴーゴージャグラー3,0.998,1.005,0.993,0.986,0.996,1.0,1.005,0.996,0.984,0.99,0.997
ジャグラーガールズ,0.993,1.005,0.997,0.984,0.979,1.003,0.997,0.992,0.987,0.99,0.995
ハッピージャグラーVIII,0.983,1.009,0.98,0.98,1.01,0.997,1.007,0.976,1.014,0.963,0.996
ファンキージャグラー2,0.982,0.996,0.973,0.989,0.99,1.007,0.992,0.982,1.0,0.994,0.992
マイジャグラーV,0.996,1.015,1.002,0.999,0.999,1.01,1.005,1.001,0.999,0.992,1.003
ミスタージャグラー,0.984,1.011,0.996,0.985,0.987,1.0,1.002,1.006,0.993,0.993,0.998
total,0.995,1.01,0.996,0.995,0.994,1.007,1.004,0.998,0.996,0.991,1.0
