,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
month,total,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04
model_name,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.002,0.996,0.998,1.001,0.993,0.997,1.0,1.001,0.999,1.001,1.0,1.007,1.005,1.004,1.008
ウルトラミラクルジャグラー,0.998,0.987,0.993,0.997,1.002,1.0,1.001,,,,,,,,
ゴーゴージャグラー3,1.002,0.999,0.993,0.992,1.001,1.0,0.996,1.005,0.995,0.998,1.003,1.003,1.006,1.01,1.012
ジャグラーガールズ,1.003,1.0,0.993,1.001,0.99,0.996,0.994,0.995,0.999,1.003,0.997,1.005,1.005,1.01,1.016
ハッピージャグラーVIII,0.995,0.993,0.995,,,,,0.957,1.004,,,,,,
ファンキージャグラー2,0.996,0.992,0.992,0.993,0.996,0.99,0.995,0.996,1.0,0.989,1.001,0.986,0.99,1.0,1.007
マイジャグラーV,1.01,1.002,1.0,1.002,1.003,1.006,1.005,1.002,1.008,1.009,1.012,1.011,1.017,1.021,1.025
ミスタージャグラー,1.001,0.999,1.002,0.991,0.996,0.99,1.006,0.997,1.002,1.008,1.007,1.009,,,
total,1.006,0.999,0.998,0.999,1.001,1.002,1.002,1.001,1.004,1.005,1.007,1.008,1.011,1.015,1.018
